idno;tail;name;ST_AsText(shap);nlan;sped;hier;head;leng;capa 
2000141;1314905;Fischauer Gasse;16.2404648 47.8223128,16.239379 47.8222195;1;28;0;18067319;81,9700012207031;1100
2000141;18067319;Fischauer Gasse;16.239379 47.8222195,16.2404648 47.8223128;1;28;0;1314905;81,9700012207031;1100
2000142;1314905;Fischauer Gasse;16.2404648 47.8223128,16.2407653 47.8223387;1;28;0;18099612;22,6900005340576;1100
2000142;18099612;Fischauer Gasse;16.2407653 47.8223387,16.2404648 47.8223128;1;28;0;1314905;22,6900005340576;1100
2000162;1315101;Höbersdorfer Straße/L30;16.2134197 48.4532752,16.2134892 48.4532865,16.2136364 48.4533276;1;35;0;18017440;17,1000003814697;1100
2000162;18017440;Höbersdorfer Straße/L30;16.2136364 48.4533276,16.2134892 48.4532865,16.2134197 48.4532752;1;35;0;1315101;17,1000003814697;1100
2000181;1315121;Ringstraße/B35 - Retzer Straße;15.5888908 48.4043294,15.5890434 48.4043815,15.5893869 48.4045436,15.5896638 48.4046758,15.5897944 48.4047429;1;39;0;18122438;81,3199996948242;1100
2000181;18122438;Ringstraße/B35 - Retzer Straße;15.5897944 48.4047429,15.5896638 48.4046758,15.5893869 48.4045436,15.5890434 48.4043815,15.5888908 48.4043294;1;39;0;1315121;81,3199996948242;1100
2000182;1315121;Ringstraße/B35 - Retzer Straße;15.5888908 48.4043294,15.5888614 48.4043194,15.5885192 48.404162,15.5883235 48.4040561,15.5881229 48.4039233;1;39;0;18013679;72,8600006103516;1100
2000182;18013679;Ringstraße/B35 - Retzer Straße;15.5881229 48.4039233,15.5883235 48.4040561,15.5885192 48.404162,15.5888614 48.4043194,15.5888908 48.4043294;1;39;0;1315121;72,8600006103516;1100
2000201;1325744;Maria Langegg/L109;15.4694805 48.3310433,15.4694137 48.3310256,15.4693593 48.3309957,15.4691967 48.3308087,15.4689863 48.3306092,15.4688935 48.330558,15.4688321 48.3305341;1;35;0;18201321;75,9199981689453;1100
2000201;18201321;Maria Langegg/L109;15.4688321 48.3305341,15.4688935 48.330558,15.4689863 48.3306092,15.4691967 48.3308087,15.4693593 48.3309957,15.4694137 48.3310256,15.4694805 48.3310433;1;35;0;1325744;75,9199981689453;1100
2000202;1325744;Nesselstauden/L109;15.4694805 48.3310433,15.4695433 48.3310504,15.4696732 48.3310495,15.4706244 48.3310167,15.4711072 48.3310004,15.4712813 48.3310017,15.4714224 48.3310122,15.4714865 48.3310251,15.4715673 48.3310562;1;35;0;18017085;156,149993896484;1100
2000202;18017085;Nesselstauden/L109;15.4715673 48.3310562,15.4714865 48.3310251,15.4714224 48.3310122,15.4712813 48.3310017,15.4711072 48.3310004,15.4706244 48.3310167,15.4696732 48.3310495,15.4695433 48.3310504,15.4694805 48.3310433;1;35;0;1325744;156,149993896484;1100
2000241;1315221;Japons/L174;15.5677749 48.7922484,15.5678614 48.7922921,15.5680252 48.7923754,15.568176 48.7924529,15.5683756 48.7925452,15.5686183 48.7926521,15.5687749 48.7927438;1;35;0;18200434;91,9400024414063;1100
2000241;18200434;Japons/L174;15.5687749 48.7927438,15.5686183 48.7926521,15.5683756 48.7925452,15.568176 48.7924529,15.5680252 48.7923754,15.5678614 48.7922921,15.5677749 48.7922484;1;35;0;1315221;91,9400024414063;1100
2000261;1315241;Waldhausen/L8262;15.261579 48.5217625,15.2615284 48.5217629,15.2612702 48.5217664;1;35;0;18191872;22,8199996948242;1100
2000261;18191872;Waldhausen/L8262;15.2612702 48.5217664,15.2615284 48.5217629,15.261579 48.5217625;1;35;0;1315241;22,8199996948242;1100
2000262;1315241;Waldhausen/L8262;15.261579 48.5217625,15.2618394 48.5217608,15.2624644 48.52173,15.262544 48.5217348;1;35;0;18096607;71,4499969482422;1100
2000262;18096607;Waldhausen/L8262;15.262544 48.5217348,15.2624644 48.52173,15.2618394 48.5217608,15.261579 48.5217625;1;35;0;1315241;71,4499969482422;1100
2000381;1315401;L7226;15.2265965 48.2454091,15.2266043 48.2453093,15.2266306 48.2452132,15.2267015 48.2451147,15.2268064 48.2450065,15.2269253 48.2448843,15.2271393 48.2446748,15.22727 48.2445263,15.2273696 48.2444262,15.2274453 48.2443641,15.2276323 48.2442465;1;69;0;18013560;153,380004882813;900
2000381;18013560;L7226;15.2276323 48.2442465,15.2274453 48.2443641,15.2273696 48.2444262,15.22727 48.2445263,15.2271393 48.2446748,15.2269253 48.2448843,15.2268064 48.2450065,15.2267015 48.2451147,15.2266306 48.2452132,15.2266043 48.2453093,15.2265965 48.2454091;1;69;0;1315401;153,380004882813;900
2000382;1315401;L7226;15.2265965 48.2454091,15.226594 48.2454407,15.2266096 48.2455292,15.2266225 48.2455591;1;69;0;18195986;16,8899993896484;900
2000382;18195986;L7226;15.2266225 48.2455591,15.2266096 48.2455292,15.226594 48.2454407,15.2265965 48.2454091;1;69;0;1315401;16,8899993896484;900
2000441;1315461;Pottschacher Str./L4151;15.9996281 47.7032938,15.999389 47.7033897,15.9990572 47.7035537,15.9988839 47.7036381,15.9986957 47.7037408,15.9984697 47.7038566,15.9978741 47.7040932,15.9974758 47.704242,15.9972828 47.704328,15.9971142 47.7044474,15.9970874 47.7044652;1;35;0;18120542;231,789993286133;1100
2000441;18120542;Pottschacher Str./L4151;15.9970874 47.7044652,15.9971142 47.7044474,15.9972828 47.704328,15.9974758 47.704242,15.9978741 47.7040932,15.9984697 47.7038566,15.9986957 47.7037408,15.9988839 47.7036381,15.9990572 47.7035537,15.999389 47.7033897,15.9996281 47.7032938;1;35;0;1315461;231,789993286133;1100
2000442;1315461;Pottschacher Str./L4151;15.9996281 47.7032938,15.9996858 47.7032707,15.9999021 47.7031723;1;35;0;18065996;24,6100006103516;1100
2000442;18065996;Pottschacher Str./L4151;15.9999021 47.7031723,15.9996858 47.7032707,15.9996281 47.7032938;1;35;0;1315461;24,6100006103516;1100
2000482;1315501;Buchbach/L8128;15.2150077 48.8224648,15.214743 48.8224774,15.2145147 48.8224869,15.2140935 48.8225075,15.2140704 48.8225094;1;35;0;18206616;69,0100021362305;1100
2000482;18206616;Buchbach/L8128;15.2140704 48.8225094,15.2140935 48.8225075,15.2145147 48.8224869,15.214743 48.8224774,15.2150077 48.8224648;1;35;0;1315501;69,0100021362305;1100
2000581;1315621;Velmerstraße/L2005;16.405196500001 48.033693899999,16.405130100001 48.033704199999,16.402210100001 48.034162399999,16.400277800001 48.034463699999;1;69;0;18092107;376,670013427734;900
2000581;18092107;Velmerstraße/L2005;16.400277800001 48.034463699999,16.402210100001 48.034162399999,16.405130100001 48.033704199999,16.405196500001 48.033693899999;1;69;0;1315621;376,670013427734;900
2000606;1315643;B22 - Grestner Straße;15.1247282 48.0183037,15.1254234 48.0183912,15.1300535 48.0189381,15.1310388 48.0190579,15.1310604 48.0190605;1;72;0;18199329;479,859985351563;1250
2000606;18199329;B22 - Grestner Straße;15.1310604 48.0190605,15.1310388 48.0190579,15.1300535 48.0189381,15.1254234 48.0183912,15.1247282 48.0183037;1;72;0;1315643;479,859985351563;1250
2000621;1315661;B22 - Grestner Straße;15.123257 48.0180627,15.1222115 48.0178461,15.1215776 48.0177723,15.1210472 48.0177871,15.1203761 48.0179176,15.1192784 48.0181161,15.1180513 48.0181684;1;72;0;18009528;397,929992675781;1250
2000621;18009528;B22 - Grestner Straße;15.1180513 48.0181684,15.1192784 48.0181161,15.1203761 48.0179176,15.1210472 48.0177871,15.1215776 48.0177723,15.1222115 48.0178461,15.123257 48.0180627;1;72;0;1315661;397,929992675781;1250
2000644;1315682;Kleinwolfstein/L6039;14.9603964 48.1616993,14.9604272 48.1617029,14.9606154 48.1617739,14.9607153 48.161826,14.9608326 48.1619235,14.9608959 48.1620342,14.9609398 48.1621469,14.9609551 48.1622751;1;69;0;18210998;82,1800003051758;900
2000644;18210998;Kleinwolfstein/L6039;14.9609551 48.1622751,14.9609398 48.1621469,14.9608959 48.1620342,14.9608326 48.1619235,14.9607153 48.161826,14.9606154 48.1617739,14.9604272 48.1617029,14.9603964 48.1616993;1;69;0;1315682;82,1800003051758;900
2000742;1315741;Weyrerstraße/B121 - Weyerer Straße;14.7653459 47.9524846,14.7657773 47.953008,14.7659223 47.9531283,14.7661141 47.9532658,14.766302 47.9533634,14.7664245 47.953415;1;39;0;18017429;133,259994506836;1100
2000742;18017429;Weyrerstraße/B121 - Weyerer Straße;14.7664245 47.953415,14.766302 47.9533634,14.7661141 47.9532658,14.7659223 47.9531283,14.7657773 47.953008,14.7653459 47.9524846;1;39;0;1315741;133,259994506836;1100
2000744;1315742;Hofer Straße/L5344;15.4146046 48.1885697,15.4134655 48.1887364,15.4125314 48.1888861,15.4114728 48.1890722,15.4100757 48.1893278,15.4097591 48.1893832,15.4096164 48.1893986,15.4094956 48.1894018,15.4093856 48.1893937,15.4092625 48.1893705;1;69;0;18011851;409,029998779297;900
2000744;18011851;Hofer Straße/L5344;15.4092625 48.1893705,15.4093856 48.1893937,15.4094956 48.1894018,15.4096164 48.1893986,15.4097591 48.1893832,15.4100757 48.1893278,15.4114728 48.1890722,15.4125314 48.1888861,15.4134655 48.1887364,15.4146046 48.1885697;1;69;0;1315742;409,029998779297;900
2000748;1315744;Dorf/L98;14.8735416 47.8406672,14.8733717 47.8409327,14.8730307 47.8413948,14.8728481 47.8417504,14.8727888 47.8420523,14.8728091 47.8422334,14.8729006 47.8425011,14.8730771 47.8429622,14.8732456 47.8433051,14.8734815 47.8436641,14.8737455 47.844033,14.8739729 47.8443919,14.874144 47.8447444,14.8743097 47.84519,14.8743666 47.8453226;1;69;0;18155741;549,349975585938;900
2000748;18155741;Dorf/L98;14.8743666 47.8453226,14.8743097 47.84519,14.874144 47.8447444,14.8739729 47.8443919,14.8737455 47.844033,14.8734815 47.8436641,14.8732456 47.8433051,14.8730771 47.8429622,14.8729006 47.8425011,14.8728091 47.8422334,14.8727888 47.8420523,14.8728481 47.8417504,14.8730307 47.8413948,14.8733717 47.8409327,14.8735416 47.8406672;1;69;0;1315744;549,349975585938;900
2000749;1315745;Dorf/L98;14.874057 47.8396993,14.8740947 47.8395906;1;69;0;18199924;12,4099998474121;900
2000749;18199924;Dorf/L98;14.8740947 47.8395906,14.874057 47.8396993;1;69;0;1315745;12,4099998474121;900
2000750;1315744;Dorf/L98;14.8735416 47.8406672,14.873774 47.8403039,14.873908 47.8400619,14.8740475 47.8397267,14.874057 47.8396993;1;69;0;1315745;114,550003051758;900
2000750;1315745;Dorf/L98;14.874057 47.8396993,14.8740475 47.8397267,14.873908 47.8400619,14.873774 47.8403039,14.8735416 47.8406672;1;69;0;1315744;114,550003051758;900
2000853;1315849;Haslach/B3 - Donau Straße;15.0265838 48.1953269,15.0265408 48.1953203,15.0262216 48.1952774,15.025266 48.1951357,15.0246352 48.1950309,15.0239333 48.1949218,15.022999 48.194785,15.0228833 48.1947721,15.0224656 48.1947256,15.0217601 48.1946626,15.0209923 48.1946205,15.0198984 48.1946008,15.0186743 48.1945963,15.0178965 48.1945993,15.0168825 48.1945888,15.0160622 48.1945712,15.0156128 48.1945564,15.0154314 48.194556;1;79;0;18102538;837,280029296875;1250
2000853;18102538;Haslach/B3 - Donau Straße;15.0154314 48.194556,15.0156128 48.1945564,15.0160622 48.1945712,15.0168825 48.1945888,15.0178965 48.1945993,15.0186743 48.1945963,15.0198984 48.1946008,15.0209923 48.1946205,15.0217601 48.1946626,15.0224656 48.1947256,15.0228833 48.1947721,15.022999 48.194785,15.0239333 48.1949218,15.0246352 48.1950309,15.025266 48.1951357,15.0262216 48.1952774,15.0265408 48.1953203,15.0265838 48.1953269;1;79;0;1315849;837,280029296875;1250
2000761;1315751;Ofenberg/B31 - Ybbstal Straße;14.8324627 47.8924559,14.8325454 47.8926493,14.832625 47.893012,14.832662 47.893142,14.832703 47.893242,14.8328 47.893433,14.8329299 47.8936423,14.8331309 47.893859,14.833335 47.8940227,14.83353 47.89416,14.833754 47.894288,14.8341038 47.8944534,14.8344448 47.8946007,14.8347526 47.8947284,14.83506 47.894839,14.836034 47.895157,14.836336 47.895265,14.836835 47.895463,14.837058 47.895574,14.8372723 47.895698,14.8374808 47.8958302,14.837762 47.896042,14.837879 47.89615,14.838054 47.89633,14.838184 47.896482,14.838304 47.896652,14.838454 47.89694,14.838544 47.897155,14.8387384 47.8976487,14.8388821 47.8980656,14.839056 47.898634,14.8391839 47.8991833,14.8392427 47.8994981,14.8392723 47.8997517,14.8392556 47.9000332,14.8392095 47.9002592,14.8391153 47.9004807,14.8389791 47.9006903,14.8388359 47.9008445,14.8386794 47.90097,14.8384628 47.9011175,14.8382587 47.9012291,14.8379982 47.9013266,14.8376269 47.9014398,14.837222 47.9015411,14.8369757 47.9016388,14.8367574 47.9017426,14.836553 47.90188,14.836377 47.902052,14.8361223 47.9023644,14.835974 47.902648,14.8357197 47.9030731,14.8353631 47.9035558,14.8350513 47.9038601,14.8347838 47.904106,14.8345992 47.9043206,14.834483 47.90456,14.834427 47.904754,14.834413 47.904873,14.834412 47.904974,14.834432 47.905104,14.834463 47.905231,14.8345209 47.905379,14.834748 47.905796,14.8347895 47.9060612,14.8347522 47.9061787,14.8346338 47.9064532,14.8344762 47.906811,14.834386 47.907116,14.834378 47.907326,14.834391 47.907573,14.834425 47.907833,14.8344596 47.9080691,14.834488 47.908308,14.834459 47.9084803,14.8344262 47.908636,14.8343156 47.9088402,14.8341641 47.9090838,14.834029 47.909331,14.833978 47.909484,14.833941 47.909643,14.8339345 47.9097167;1;79;0;18009020;2288,15991210938;1250
2000761;18009020;Ofenberg/B31 - Ybbstal Straße;14.8339345 47.9097167,14.833941 47.909643,14.833978 47.909484,14.834029 47.909331,14.8341641 47.9090838,14.8343156 47.9088402,14.8344262 47.908636,14.834459 47.9084803,14.834488 47.908308,14.8344596 47.9080691,14.834425 47.907833,14.834391 47.907573,14.834378 47.907326,14.834386 47.907116,14.8344762 47.906811,14.8346338 47.9064532,14.8347522 47.9061787,14.8347895 47.9060612,14.834748 47.905796,14.8345209 47.905379,14.834463 47.905231,14.834432 47.905104,14.834412 47.904974,14.834413 47.904873,14.834427 47.904754,14.834483 47.90456,14.8345992 47.9043206,14.8347838 47.904106,14.8350513 47.9038601,14.8353631 47.9035558,14.8357197 47.9030731,14.835974 47.902648,14.8361223 47.9023644,14.836377 47.902052,14.836553 47.90188,14.8367574 47.9017426,14.8369757 47.9016388,14.837222 47.9015411,14.8376269 47.9014398,14.8379982 47.9013266,14.8382587 47.9012291,14.8384628 47.9011175,14.8386794 47.90097,14.8388359 47.9008445,14.8389791 47.9006903,14.8391153 47.9004807,14.8392095 47.9002592,14.8392556 47.9000332,14.8392723 47.8997517,14.8392427 47.8994981,14.8391839 47.8991833,14.839056 47.898634,14.8388821 47.8980656,14.8387384 47.8976487,14.838544 47.897155,14.838454 47.89694,14.838304 47.896652,14.838184 47.896482,14.838054 47.89633,14.837879 47.89615,14.837762 47.896042,14.8374808 47.8958302,14.8372723 47.895698,14.837058 47.895574,14.836835 47.895463,14.836336 47.895265,14.836034 47.895157,14.83506 47.894839,14.8347526 47.8947284,14.8344448 47.8946007,14.8341038 47.8944534,14.833754 47.894288,14.83353 47.89416,14.833335 47.8940227,14.8331309 47.893859,14.8329299 47.8936423,14.8328 47.893433,14.832703 47.893242,14.832662 47.893142,14.832625 47.893012,14.8325454 47.8926493,14.8324627 47.8924559;1;79;0;1315751;2288,15991210938;1250
2000764;1315752;Ofenberg/B31 - Ybbstal Straße;14.8309767 47.8916132,14.8307542 47.8915559,14.8303718 47.8914652,14.8300491 47.8913676,14.8296735 47.8912409,14.829419 47.8911347,14.8293302 47.89109;1;79;0;18200353;136,740005493164;1250
2000764;18200353;Ofenberg/B31 - Ybbstal Straße;14.8293302 47.89109,14.829419 47.8911347,14.8296735 47.8912409,14.8300491 47.8913676,14.8303718 47.8914652,14.8307542 47.8915559,14.8309767 47.8916132;1;79;0;1315752;136,740005493164;1250
2000769;1315755;Rogatsboden/L6157;15.0989145 48.0284856,15.0988711 48.0289963,15.0988027 48.0291859,15.0985993 48.0295312,15.0984906 48.0297751,15.0984445 48.0301781,15.0983954 48.0303722,15.0982888 48.0307938,15.0982974 48.0310247,15.0983915 48.0312494,15.0986054 48.0315061,15.098881 48.0318448,15.0989258 48.031904;1;69;0;18202783;397,190002441406;900
2000769;18202783;Rogatsboden/L6157;15.0989258 48.031904,15.098881 48.0318448,15.0986054 48.0315061,15.0983915 48.0312494,15.0982974 48.0310247,15.0982888 48.0307938,15.0983954 48.0303722,15.0984445 48.0301781,15.0984906 48.0297751,15.0985993 48.0295312,15.0988027 48.0291859,15.0988711 48.0289963,15.0989145 48.0284856;1;69;0;1315755;397,190002441406;900
2000784;1315762;L7275a;14.9981658 48.1968253,14.9980033 48.1968667,14.9977046 48.1969227,14.9973481 48.1969436;1;69;0;18014667;62,5999984741211;900
2000784;18014667;L7275a;14.9973481 48.1969436,14.9977046 48.1969227,14.9980033 48.1968667,14.9981658 48.1968253;1;69;0;1315762;62,5999984741211;900
2000846;1315843;Steyrer Straße/B122 - Voralpen Straße;14.6304309 48.0420099,14.6306302 48.041929,14.6310431 48.0418052,14.6318265 48.0415397,14.6331612 48.0409785,14.633303 48.0409178;1;72;0;18171938;246,610000610352;1250
2000846;18171938;Steyrer Straße/B122 - Voralpen Straße;14.633303 48.0409178,14.6331612 48.0409785,14.6318265 48.0415397,14.6310431 48.0418052,14.6306302 48.041929,14.6304309 48.0420099;1;72;0;1315843;246,610000610352;1250
2000854;1315849;Haslach/B3 - Donau Straße;15.0265838 48.1953269,15.0270247 48.1953948,15.0279749 48.1955377,15.0291555 48.1957178,15.0307101 48.1959531,15.0317883 48.1961188,15.0323762 48.1962183,15.0333076 48.1964014,15.0339436 48.1965373,15.0344241 48.1966544,15.0352303 48.1968633,15.0356102 48.1969688,15.0367557 48.1973205,15.0378439 48.1976768,15.0386839 48.1979434,15.0393477 48.1981334,15.0400305 48.1983013,15.0407164 48.1984428,15.0412448 48.198515,15.0418105 48.1985707,15.0423418 48.1986014,15.0425574 48.1986098;1;79;0;18180374;1249,06005859375;1250
2000854;18180374;Haslach/B3 - Donau Straße;15.0425574 48.1986098,15.0423418 48.1986014,15.0418105 48.1985707,15.0412448 48.198515,15.0407164 48.1984428,15.0400305 48.1983013,15.0393477 48.1981334,15.0386839 48.1979434,15.0378439 48.1976768,15.0367557 48.1973205,15.0356102 48.1969688,15.0352303 48.1968633,15.0344241 48.1966544,15.0339436 48.1965373,15.0333076 48.1964014,15.0323762 48.1962183,15.0317883 48.1961188,15.0307101 48.1959531,15.0291555 48.1957178,15.0279749 48.1955377,15.0270247 48.1953948,15.0265838 48.1953269;1;79;0;1315849;1249,06005859375;1250
2000857;1315851;Reinswidl/L6035;14.914086 48.1680382,14.9138812 48.1679214,14.9137126 48.1678329,14.9134834 48.1677858,14.9128213 48.1677261,14.9123031 48.1676493,14.9119418 48.167581,14.9118046 48.1675346,14.9116606 48.1674186,14.9115252 48.1672553,14.9112068 48.1668517,14.9110768 48.1667287,14.9109053 48.1666254,14.9102957 48.1664167,14.9099544 48.1662841,14.9095921 48.1660725;1;69;0;18018125;420,660003662109;900
2000857;18018125;Reinswidl/L6035;14.9095921 48.1660725,14.9099544 48.1662841,14.9102957 48.1664167,14.9109053 48.1666254,14.9110768 48.1667287,14.9112068 48.1668517,14.9115252 48.1672553,14.9116606 48.1674186,14.9118046 48.1675346,14.9119418 48.167581,14.9123031 48.1676493,14.9128213 48.1677261,14.9134834 48.1677858,14.9137126 48.1678329,14.9138812 48.1679214,14.914086 48.1680382;1;69;0;1315851;420,660003662109;900
2000858;1315851;Reinswidl/L6035;14.914086 48.1680382,14.9141688 48.1680855,14.9145988 48.1682036,14.9149091 48.1682474,14.9153314 48.1682612,14.9162416 48.1682253,14.9165333 48.1682504,14.9167203 48.1682798,14.9167601 48.1682951;1;69;0;18208178;205,139999389648;900
2000858;18208178;Reinswidl/L6035;14.9167601 48.1682951,14.9167203 48.1682798,14.9165333 48.1682504,14.9162416 48.1682253,14.9153314 48.1682612,14.9149091 48.1682474,14.9145988 48.1682036,14.9141688 48.1680855,14.914086 48.1680382;1;69;0;1315851;205,139999389648;900
2000860;1315852;Reikersdorf/L6035;14.9091455 48.1644458,14.9091517 48.1644592,14.9093986 48.1649463,14.9094889 48.1651516,14.9095692 48.1654095,14.9096021 48.1656855,14.9095981 48.1659082,14.9095921 48.1660725;1;69;0;18018125;185,690002441406;900
2000860;18018125;Reikersdorf/L6035;14.9095921 48.1660725,14.9095981 48.1659082,14.9096021 48.1656855,14.9095692 48.1654095,14.9094889 48.1651516,14.9093986 48.1649463,14.9091517 48.1644592,14.9091455 48.1644458;1;69;0;1315852;185,690002441406;900
2000862;1315853;Reikersdorf/L6035;14.898737 48.1640505,14.8983325 48.1641654;1;69;0;18151574;32,7000007629395;900
2000862;18151574;Reikersdorf/L6035;14.8983325 48.1641654,14.898737 48.1640505;1;69;0;1315853;32,7000007629395;900
2000869;1315857;Straße zur Autobahn/B42 - Haager Straße;14.5721712 48.1150009,14.5722385 48.114992,14.5729572 48.1148614,14.5736828 48.1147405,14.5737069 48.1147366;1;55;0;18146218;118,110000610352;1100
2000869;18146218;Straße zur Autobahn/B42 - Haager Straße;14.5737069 48.1147366,14.5736828 48.1147405,14.5729572 48.1148614,14.5722385 48.114992,14.5721712 48.1150009;1;55;0;1315857;118,110000610352;1100
2000870;1315857;Straße zur Autobahn/B42 - Haager Straße;14.5721712 48.1150009,14.5718013 48.1150495,14.5712566 48.1150792,14.57088 48.115077,14.5703586 48.1150488,14.5702595 48.1150379;1;55;0;18128466;143,259994506836;1100
2001231;18012359;L1113;16.3605216 48.364791799999,16.3607183 48.364763599999;1;69;0;1316093;14,9099998474121;900
2000870;18128466;Straße zur Autobahn/B42 - Haager Straße;14.5702595 48.1150379,14.5703586 48.1150488,14.57088 48.115077,14.5712566 48.1150792,14.5718013 48.1150495,14.5721712 48.1150009;1;55;0;1315857;143,259994506836;1100
2000871;1315858;Loosdorfer Straße/L106;15.2942643 48.1442852,15.2939644 48.1442501,15.2938663 48.1442455;1;35;0;18131971;29,9699993133545;1100
2000871;18131971;Loosdorfer Straße/L106;15.2938663 48.1442455,15.2939644 48.1442501,15.2942643 48.1442852;1;35;0;1315858;29,9699993133545;1100
2000873;1315859;Hauptstraße/L7255;15.2089922 48.2405273,15.2088252 48.2406066,15.2084462 48.2407803;1;35;0;18208520;49,3600006103516;1100
2000873;18208520;Hauptstraße/L7255;15.2084462 48.2407803,15.2088252 48.2406066,15.2089922 48.2405273;1;35;0;1315859;49,3600006103516;1100
2000884;1315864;Ennsfeld/L6063;14.8679181 48.1473395,14.8677771 48.1473318;1;69;0;18212240;10,5299997329712;900
2000884;18212240;Ennsfeld/L6063;14.8677771 48.1473318,14.8679181 48.1473395;1;69;0;1315864;10,5299997329712;900
2000887;1315866;Niederneuhofen/L6112;14.8586911 48.0595657,14.858717 48.059556,14.8589371 48.0595952,14.8595151 48.05973;1;35;0;18148343;64,8099975585938;1100
2000887;18148343;Niederneuhofen/L6112;14.8595151 48.05973,14.8589371 48.0595952,14.858717 48.059556,14.8586911 48.0595657;1;35;0;1315866;64,8099975585938;1100
2000888;1315866;Niederneuhofen/L6112;14.8586911 48.0595657,14.858628 48.0595892,14.8585766 48.059647;1;35;0;18184846;12,8599996566772;1100
2000888;18184846;Niederneuhofen/L6112;14.8585766 48.059647,14.858628 48.0595892,14.8586911 48.0595657;1;35;0;1315866;12,8599996566772;1100
2000889;1315867;Marktstraße;14.8568493 48.0590153,14.8563897 48.0588042;1;28;0;18184845;41,5299987792969;1100
2000889;18184845;Marktstraße;14.8563897 48.0588042,14.8568493 48.0590153;1;28;0;1315867;41,5299987792969;1100
2000895;1315874;Ulmerfelderstraße;14.8508376 48.058983,14.8505005 48.0590388,14.8501122 48.0591017;1;28;0;18104084;55,6699981689453;1100
2000895;18104084;Ulmerfelderstraße;14.8501122 48.0591017,14.8505005 48.0590388,14.8508376 48.058983;1;28;0;1315874;55,6699981689453;1100
2000896;1315874;Ulmerfelderstraße;14.8508376 48.058983,14.8512291 48.0589197,14.8515938 48.058862;1;28;0;18123828;57,9599990844727;1100
2000896;18123828;Ulmerfelderstraße;14.8515938 48.058862,14.8512291 48.0589197,14.8508376 48.058983;1;28;0;1315874;57,9599990844727;1100
2000903;1315882;Pichl/L89;14.9275276 48.0920313,14.9275171 48.0920415,14.927228 48.0923254,14.9268267 48.0926632,14.926258 48.093094;1;69;0;18017391;151,570007324219;900
2000903;18017391;Pichl/L89;14.926258 48.093094,14.9268267 48.0926632,14.927228 48.0923254,14.9275171 48.0920415,14.9275276 48.0920313;1;69;0;1315882;151,570007324219;900
2000910;1315885;Öhling/L6088;14.8110317 48.1038243,14.8109448 48.1038493,14.8106033 48.103865,14.8100361 48.1038813,14.8090708 48.1039242,14.808815 48.103914,14.8083452 48.1038742,14.8079451 48.1038285,14.8076363 48.1037589,14.8074497 48.1037017,14.8072307 48.1036012,14.8070029 48.1034729,14.8068983 48.1034058,14.806806 48.1033307;1;69;0;18136730;334,589996337891;900
2000910;18136730;Öhling/L6088;14.806806 48.1033307,14.8068983 48.1034058,14.8070029 48.1034729,14.8072307 48.1036012,14.8074497 48.1037017,14.8076363 48.1037589,14.8079451 48.1038285,14.8083452 48.1038742,14.808815 48.103914,14.8090708 48.1039242,14.8100361 48.1038813,14.8106033 48.103865,14.8109448 48.1038493,14.8110317 48.1038243;1;69;0;1315885;334,589996337891;900
2000912;1315887;Perbersdorf/L94;14.8721262 48.0666948,14.8723019 48.0667835,14.872977 48.067199,14.8731404 48.0673237,14.8731829 48.0673761;1;69;0;18186880;109,800003051758;900
